name,addr,gu,dong,위도_user,경도_user
청담동 주민자치센터,서울특별시 강남구 압구정로79길 26,강남구,청담동,37.5250615,127.0492445
삼성1동 주민자치센터,서울특별시 강남구 봉은사로 616,강남구,삼성1동,37.51433979999999,127.062632
삼성2동 주민자치센터,서울특별시 강남구 봉은사로 419,강남구,삼성2동,37.5112121,127.0459843
대치1동 주민자치센터,서울특별시 강남구 남부순환로391길 19,강남구,대치1동,37.4932486,127.056771
대치2동 주민자치센터,서울특별시 강남구 영동대로65길 24,강남구,대치2동,37.5022565,127.0641674
대치4동 주민자치센터,서울특별시 강남구 도곡로77길 23,강남구,대치4동,37.4997428,127.0578493
역삼1동 주민자치센터,서울특별시 강남구 역삼로7길 16,강남구,역삼1동,37.4953545,127.0332497
역삼2동 주민자치센터,서울특별시 강남구 도곡로43길 25,강남구,역삼2동,37.4960046,127.0468165
도곡1동 주민자치센터,"서울특별시 강남구 도곡로18길 57,2층",강남구,도곡1동,37.4883342,127.0389595
도곡2동 주민자치센터,서울특별시 강남구 남부순환로378길 34-9,강남구,도곡2동,37.4837326,127.0463753
개포1동 주민자치센터,"서울특별시 강남구 개포로 303, 상가동 103호",강남구,개포1동,37.4826691,127.0544261
개포2동 주민자치센터,서울특별시 강남구 개포로 511,강남구,개포2동,37.4897826,127.0690801
개포4동 주민자치센터,서울특별시 강남구 개포로38길 12,강남구,개포4동,37.478856,127.0516235
일원본동 주민자치센터,서울특별시 강남구 광평로 126,강남구,일원본동,37.4833153,127.0864733
일원1동 주민자치센터,서울특별시 강남구 양재대로55길 14,강남구,일원1동,37.4918934,127.0880146
일원2동 주민자치센터,서울특별시 강남구 개포로607,강남구,일원2동,37.4921026,127.073741
수서동 주민자치센터,서울특별시 강남구 광평로301-4,강남구,수서동,37.4889663,127.1049447
세곡동 주민자치센터,서울특별시 강남구 밤고개로 286,강남구,세곡동,37.46907590000001,127.1070218
풍납1동 자치회관,서울특별시 송파구 천호대로 152길 7,송파구,풍납1동,37.5380799,127.1220805
풍납2동 자치회관,서울특별시 송파구 토성로 52,송파구,풍납2동,37.5292505,127.1156741
거여1동 자치회관,서울특별시 송파구 오금로 53길 32,송파구,거여1동,37.4969863,127.1432714
거여2동 자치회관,서울특별시 송파구 거마로 2길 19,송파구,거여2동,37.4935529,127.1468374
마천1동 자치회관,서울특별시 송파구 마천로 303,송파구,마천1동,37.4959618,127.1498888
마천2동 자치회관,서울특별시 송파구 마천로 287,송파구,마천2동,37.4969377,127.1485915
