대지위치,건물명,동_세부용도,연면적,호수,위도_user,경도_user
서울특별시 강남구 세곡동 590-0,라온프라이빗시티 강남,업무시설,12857.3,114,37.4667949,127.1001606
서울특별시 강남구 세곡동 616-0,강남 드림하이 오피스텔,"업무시설(오피스텔),근린생활시설",18674.86,228,37.4663229,127.100909
서울특별시 강남구 수서동 713-0,수서현대벤쳐빌,"판매시설, 업무시설",90081.46,721,37.4880163,127.1018486
서울특별시 강남구 수서동 716-0,사이룩스,"업무시설(오피스텔),판매시설",25115.44,337,37.488456,127.10419
서울특별시 강남구 수서동 716-0,사이룩스,"업무시설(오피스텔),판매시설,근린생활시설",25115.44,338,37.488456,127.10419
서울특별시 강남구 수서동 717-0,한울오피스텔,업무시설 (오피스텔),1867.66,11,37.4887823,127.1036079
서울특별시 강남구 수서동 717-1,그린빌,업무시설(오피스텔),2510.27,19,37.48886419999999,127.1038913
서울특별시 강남구 수서동 725-1,목화오피스텔,업무시설,2601.75,31,37.4869746,127.1034365
서울특별시 강남구 신사동 588-16,썬-타워빌딩,"도시형생활주택,오피스텔,근린생활시설",5843.87,73,37.5211028,127.0313919
서울특별시 강남구 신사동 629-26,현대벨로스오피스텔,업무시설 근린생활시설,6365.55,32,37.5216406,127.033017
서울특별시 강남구 역삼동 603-5,더스위트캐슬,"업무시설(오피스텔),근린생활시설",8280.54,213,37.5057624,127.0296967
서울특별시 강남구 역삼동 603-7,신논현 마에스트로,"업무시설(오피스텔),제1종근린생활시설",4746.31,159,37.505933,127.0301274
서울특별시 강남구 역삼동 605-17,태건 강남 헤븐리치 더써밋 761,"업무시설(오피스텔),근린생활시설",12986.17,369,37.5066971,127.0327825
서울특별시 강남구 역삼동 606-0,역삼 노블루체 언주,오피스텔(주거용),4109.07,129,37.5067484,127.0331176
서울특별시 강남구 역삼동 642-16,성지하이츠-11,업무시설,22196.7,184,37.5009488,127.0355183
서울특별시 강남구 역삼동 642-19,역삼하이츠빌딩,"업무시설(오피스텔), 근린생활시설",24982.7,228,37.5010231,127.0360826
서울특별시 강남구 역삼동 642-6,성지하이츠3,"업무시설,근린생활시설",27268.64,229,37.5016945,127.0359771
서울특별시 강남구 역삼동 648-1,강남 IBC 오피스텔,"업무시설,근린생활시설,도시형생활주택",13966.62,241,37.4997632,127.0310725
서울특별시 강남구 역삼동 653-4,원에디션 강남,업무시설(오피스텔),2323.9317,25,37.50788,127.0382432
서울특별시 강남구 역삼동 677-12,THE POEM,업무시설(오피스텔),5216.96,98,37.5026291,127.0395233
서울특별시 강남구 역삼동 677-4,역삼동 677-4 업무시설 (김창환),오피스텔,3153.26,64,37.5032577,127.0400936
서울특별시 강남구 역삼동 678-27,이지마루 역삼,오피스텔 및 아파트,1999.87,16,37.5022441,127.0391055
서울특별시 강남구 역삼동 678-6,해든 빌딩,"업무시설(오피스텔),근린생활시설",1988.51,39,37.502781,127.0390373
서울특별시 강남구 역삼동 681-35,투게더,"업무시설(오피스텔 80호실),공동주택(다세대주택 21세대),근린생활시설",5039.31,81,37.5093226,127.0415566
서울특별시 강남구 역삼동 701-1,역삼아르누보씨티,"오피스텔,근린생활시설,숙박시설",21431.69,0,37.5034178,127.0428249
서울특별시 강남구 역삼동 702-10,아남타워 현대오피스텔,업무시설,44083.78,333,37.5038296,127.044828
서울특별시 강남구 역삼동 703-0,리에바움 오피스텔,"업무시설(오피스텔),제2종근린생활시설(일반음식점)",4870.44,98,37.5046202,127.0441331
서울특별시 강남구 역삼동 703-6,K타워 오피스텔,오피스텔,6309.72,120,37.5045255,127.0443367
서울특별시 강남구 역삼동 703-7,루트원 레지던스,"업무시설,오피스텔,도시형생활주택,제2종근린생활시설",5172.34,80,37.5045278,127.0446289
서울특별시 강남구 역삼동 705-1,빅토리아오피스텔,"업무시설(오피스텔),근린생활시설",20392.26,217,37.50457979999999,127.0470626
서울특별시 강남구 역삼동 705-9,삼흥오피스텔,업무시설,25042.47,154,37.504645,127.0474442
서울특별시 강남구 역삼동 706-10,우림루미아트2,아파트/ 업무시설,1998.38,13,37.502144,127.0435538
서울특별시 강남구 역삼동 706-11,우림루미아트1,아파트/ 업무시설,1998.38,13,37.502197,127.0437264
서울특별시 강남구 역삼동 706-12,좋은사람좋은집,"업무시설,공동주택,근린생활시설",1999.83,40,37.5022555,127.0438901
서울특별시 강남구 역삼동 706-13,윤익빌딩,업무시설,9991.65,50,37.5019101,127.0435507
서울특별시 강남구 역삼동 706-17,역삼오피스텔,업무시설,1181.34,20,37.5021563,127.0440704
서울특별시 강남구 역삼동 706-24,진넥스빌2,"오피스텔,아파트",3002.98,10,37.5017729,127.0439569
서울특별시 강남구 역삼동 707-1,두꺼비빌딩,업무시설 근린생활시설,11950.96,130,37.5028251,127.0447848
서울특별시 강남구 역삼동 707-15,역삼동 우정에쉐르3,"아파트,업무시설,근린생활시설",4366.28,7,37.5025017,127.045191
서울특별시 강남구 역삼동 707-17,동신오피스텔,오피스텔(40실),2579.8,40,37.50261010000001,127.0455927
서울특별시 강남구 역삼동 707-38,테헤란로오피스텔,업무시설,19669.67,210,37.5032337,127.0471914
서울특별시 강남구 역삼동 707-9,더플레이스 역삼,업무시설,1989.33,55,37.50270039999999,127.0453108
서울특별시 강남구 역삼동 708-16,능현오피스텔,"업무시설 (오피스텔), 근린생활시설",17437.78,299,37.503433,127.0478147
서울특별시 강남구 역삼동 708-20,금천빌딩,"오피스텔, 근린생활시설",14060.01,210,37.5031398,127.0479496
서울특별시 강남구 역삼동 708-26,에스케이허브 오피스텔,"업무시설(오피스텔),근린생활시설",18327.44,258,37.5035485,127.0490615
서울특별시 강남구 역삼동 708-31,선릉역 우정에쉐르 멤버스,"아파트, 오피스텔",1977.5,8,37.5031195,127.0483369
서울특별시 강남구 역삼동 718-27,빌딩-에벤에셀,업무시설(오피스텔),1951.35,42,37.5006565,127.039666
서울특별시 강남구 역삼동 719-24,역삼역센트럴푸르지오시티,"업무시설,근린생활시설",38708.54,800,37.500858,127.0405881
서울특별시 강남구 역삼동 720-13,J tree타워,"업무시설(오피스텔,사무소)",1997.64,48,37.5017671,127.0420421
서울특별시 강남구 역삼동 720-18,더 플레이스 강남,업무시설(사무소 및 오피스텔),1998.43,39,37.5019071,127.0424973
서울특별시 강남구 역삼동 720-22,amco square 720,"오피스텔,사무실,근린생활시설",6201.86,0,37.5013392,127.0419317
서울특별시 강남구 역삼동 720-25,디오빌역삼,"아파트,업무시설,근린생활시설",38875.317,53,37.5014561,127.0426891
서울특별시 강남구 역삼동 735-11,신일유토빌,업무시설(오피스텔/근생),17502.54,224,37.4988383,127.0334788
서울특별시 강남구 역삼동 735-15,역삼동 업무시설 및 도시형생활주택,"업무시설(오피스텔),도시형생활주택(원룸형)",6201.71,93,37.4985274,127.0334825
서울특별시 강남구 역삼동 735-17,역삼 푸르지오 시티,"업무시설(오피스텔),근린생활시설",22340.85,372,37.4981764,127.0336436
서울특별시 강남구 역삼동 736-22,메이플라워멤버스빌오피스텔,"업무시설,근린생활시설",7782.14,163,37.4987449,127.0347462
서울특별시 강남구 역삼동 736-24,엘지역삼에클라트,"업무시설(오피스텔), 근린생활시설",24532.6,372,37.498543,127.0350412
서울특별시 강남구 역삼동 769-1,삼환 아르누보,업무시설 (오피스텔)/ 근린생활시설,8857.99,165,37.4958292,127.0398369
서울특별시 강남구 역삼동 787-7,역삼 이스타빌,"업무시설(오피스텔),근린생활시설",8740.51,63,37.4937529,127.0431278
서울특별시 강남구 역삼동 789-9,역삼프라임,오피스텔,2459.25,58,37.4948376,127.0364308
서울특별시 강남구 역삼동 790-9,스톤 엘리시온 역삼,"다세대주택,업무시설,근린생활시설",4624.36,25,37.4952333,127.0391983
서울특별시 강남구 역삼동 822-7,목화밀라트,"업무시설 (오피스텔), 근린생활시설",12378.94,197,37.4989741,127.0295348
서울특별시 강남구 역삼동 823-26,강남역두산위브센티움,오피스텔/근린생활시설,21304.01,372,37.4986515,127.0329322
서울특별시 강남구 역삼동 823-3,크레신 타워Ⅱ,"오피스텔,근린생활시설,운동시설",7643.59,146,37.498425,127.0316961
서울특별시 강남구 역삼동 823-33,강남루덴스 오피스텔,"업무시설(오피스텔),근린생활시설",15327.93,218,37.4980631,127.0332132
서울특별시 강남구 역삼동 823-7,강남역 우정에쉐르,아파트/오피스텔,1999.83,18,37.4984057,127.0322637
서울특별시 강남구 역삼동 824-11,한라클라식 오피스텔,"업무시설, 근린생활시설",23968.76,268,37.4971347,127.0303771
서울특별시 강남구 역삼동 824-12,메가시티오피스텔,"업무시설,오피스텔",10694.48,144,37.4973943,127.0302323
서울특별시 강남구 역삼동 824-13,예성I라이프,오피스텔/근린생활시설/위락시설,8681.24,156,37.4975881,127.0302436
서울특별시 강남구 역삼동 824-25,대우디오빌플러스,"업무시설,오피스텔,아파트,근린생활시설",46844.21,569,37.4975826,127.0311106
서울특별시 강남구 역삼동 824-49,강남역투웨니퍼스트102동,업무시설,1999.92,65,37.497446,127.0306271
서울특별시 강남구 역삼동 824-9,강남역투웨니퍼스트101동,업무시설(오피스텔 65호),1999.92,65,37.4975392,127.0305825
서울특별시 강남구 역삼동 825-20,강남역 센트럴 푸르지오 시티,"업무시설(오피스텔),제1,2종근린생활시설",50133.63,844,37.4977256,127.0292972
서울특별시 강남구 역삼동 825-24,강남역 효성해링턴 타워 더퍼스트,"업무시설(오피스텔),근린생활시설",23101.03,420,37.4970267,127.0297692
서울특별시 강남구 역삼동 826-30,강남뉴스텔,"업무시설,근린생활시설",4995.93,0,37.4961505,127.0303601
서울특별시 강남구 역삼동 826-37,쌍용플래티넘밸류,공동주택(아파트)외3,47541.42,191,37.4953995,127.030406
서울특별시 강남구 역삼동 826-44,라클라쎄 강남,사무소 및 오피스텔,1994.83,68,37.4959506,127.0298334
서울특별시 강남구 역삼동 830-41,네스빌,오피스텔/근린생활시설/운동시설,8592.73,149,37.4953252,127.032531
서울특별시 강남구 역삼동 831-40,역삼SK허브블루,오피스텔/근린생활시설,7594.14,132,37.4940733,127.0313105
서울특별시 강남구 역삼동 831-45,에스케이허브젠,"공동주택(아파트),업무시설(오피스텔),근린생활시설",13969.81,59,37.49366029999999,127.0310159
서울특별시 강남구 역삼동 832-16,BIEL 106,"업무시설(오피스텔-291호),근린생활시설",16423.4699,299,37.492943,127.030965
서울특별시 강남구 역삼동 832-3,강남역 쉐르빌,"업무시설(오피스텔),근린생활시설",18291.38,319,37.4923581,127.0307076
서울특별시 강남구 역삼동 832-33,성우스타우스오피스텔,오피스텔/판매및영업시설,28686.96,463,37.4924086,127.0320238
서울특별시 강남구 역삼동 832-5,역삼디오슈페리움,"공동주택,업무시설,근린생활시설,교육연구시설",21483.85,6,37.4922198,127.0308845
서울특별시 강남구 역삼동 832-7,황화빌딩,"업무시설,위락시설,근린생활시설",19933.13,163,37.4918902,127.0309525
서울특별시 강남구 역삼동 836-51,송암빌리지,업무시설 주거시설,979.29,0,37.49192980000001,127.0342227
서울특별시 강남구 역삼동 837-11,유니온오피스텔,업무시설,40837.0,284,37.4910282,127.0316127
서울특별시 강남구 역삼동 837-13,강남역 와이즈 플레이스,"업무시설(오피스텔),근린생활시설",16046.85,294,37.4917278,127.03184
서울특별시 강남구 역삼동 837-18,강남역 서희스타힐스 오피스텔,"업무시설(오피스텔),근린생활시설",21320.2,358,37.4913729,127.0325246
서울특별시 강남구 역삼동 837-26,삼일프라자오피스텔,업무시설,38335.82,272,37.4909042,127.0324853
서울특별시 강남구 역삼동 837-31,더헤븐리치 837-31,업무시설(오피스텔),1998.064,63,37.4914706,127.0320605
서울특별시 강남구 역삼동 837-38,더헤븐리치 837-38,업무시설(오피스텔),1993.596,58,37.49137109999999,127.0321081
서울특별시 강남구 역삼동 838-10,강남웅진베어스빌,업무시설,3266.72,50,37.4901856,127.0328414
서울특별시 강남구 역삼동 900-0,시티프라디움 더 강남 101동,업무시설(오피스텔-주거용),1119.93,27,37.5074281,127.0391202
서울특별시 강남구 역삼동 901-0,시티프라디움 더 강남 201동,업무시설(오피스텔-주거용),941.71,18,37.5071816,127.0393738
서울특별시 강남구 자곡동 596-0,강남 더샵라르고,"업무시설(오피스텔),제1종,2종근린생활시설",24997.3051,494,37.4754456,127.1048608
서울특별시 강남구 자곡동 600-0,강남 푸르지오시티 1차,"업무시설(오피스텔),제1종근린생활시설(소매점)",21738.0,414,37.4749865,127.1038021
서울특별시 강남구 자곡동 651-0,강남유탑유블레스,"업무시설(오피스텔),제1,2종근린생활시설",29103.728,536,37.4735878,127.1030378
서울특별시 강남구 자곡동 653-0,빌리브 파비오 더 까사,"업무시설(오피스텔),근린생활시설",28605.5486,232,37.4740096,127.1035393
서울특별시 강남구 자곡동 655-0,강남 푸르지오시티 2차(PRUGIO CITYⅡ),"업무시설(오피스텔),제1종근린생활시설",29064.814,566,37.4743933,127.1040668
서울특별시 강남구 자곡동 658-0,강남힐스테이트에코,"업무시설(오피스텔),제1,2종근린생활시설",24992.25,488,37.4747354,127.1048177
서울특별시 강남구 자곡동 662-0,강남 지웰홈스,오피스텔,12326.32,303,37.4742782,127.1054022
서울특별시 강남구 자곡동 662-0,강남 지웰홈스,오피스텔,12667.021,350,37.4742782,127.1054022
서울특별시 강남구 자곡동 671-0,훼미리타운,업무시설(오피스텔),12004.426,78,37.47410190000001,127.1071826
서울특별시 강남구 자곡동 672-0,훼미리타운,"업무시설(오피스텔),근린생활시설",12972.249,92,37.4738184,127.107303
서울특별시 강남구 청담동 118-17,네이처 포엠,"업무시설(오피스텔),근린생활시설,판매및영업시설",11256.54,100,37.5252829,127.0472385
서울특별시 강남구 청담동 1-2,청담퍼스트타워,"업무시설(오피스텔),근린생활시설",2908.8,24,37.522821,127.0399628
서울특별시 강남구 청담동 120-2,QUORUM 505,"업무시설(오피스텔),근린생활시설",4036.83,27,37.5246897,127.048214
서울특별시 강남구 청담동 129-16,상지리츠빌 카일룸3차,"아파트, 오피스텔, 근린생활시설",12412.78,9,37.5253427,127.0534059
서울특별시 강남구 청담동 130-8,더 리버스 청담,"업무시설(오피스텔),공동주택(다세대주택)",3446.23,36,37.5243445,127.0553281
서울특별시 강남구 청담동 130-9,현대 오피스텔,업무시설,9988.85,204,37.52409950000001,127.055421
서울특별시 강남구 청담동 4-1,피엔폴루스,"업무시설(오피스텔),판매시설,운동시설,문화및집회시설,근린생활시설",54466.09,119,37.5233934,127.0436578
서울특별시 강남구 청담동 46-12,청담파크빌,아파트/업무시설,1303.37,2,37.5190683,127.0486964
서울특별시 강남구 청담동 46-2,경북전문대학교 현암에듀홀,업무시설 (오피스텔/근린생활시설),1247.38,27,37.5194029,127.0487848
서울특별시 강남구 청담동 49-5,신한 오피스텔,"업무시설, 근린생활시설",5832.19,58,37.5239761,127.0488778
서울특별시 강남구 청담동 68-19,리버뷰오피스텔,업무시설(오피스텔),9581.91,132,37.5221874,127.055306
